year,id,title,link,status,author,cofauthor,corauthor,level,venue,note
2026,curated-0beb1043c52d,Deep Learning Framework Testing via Model Mutation: How Far Are We?,https://doi.org/10.1109/TSE.2026.3651022,published,Yanzhou Mu;Rong Wang;Juan Zhai;Chunrong Fang;Xiang Chen;Peiran Yang;Zhixiang Cao;Ruixiang Qian;Shaoyu Yang;Zhenyu Chen,,,CCF-A,IEEE Transactions on Software Engineering,
2026,curated-0c55f46f941f,Drivence: Realistic Driving Sequence Synthesis for Testing Multi-Sensor Fusion Perception Systems,https://doi.org/10.1109/TSE.2025.3650399,published,Xinyu Gao;Zhijie Wang;Yang Feng;Chaolan Wang;Zhehua Zhou;Yuheng Huang;Lei Ma;Zhenyu Chen;Baowen Xu,,,CCF-A,IEEE Transactions on Software Engineering,
2026,curated-e6f076c174b5,Human Cognitive Pattern Simulation for Crowdsourced Test Report Consistency Detection,https://doi.org/10.1109/TSE.2026.3659293,published,Yuchen Ling;Shengcheng Yu;Shuguang Chen;Liuming Wang;Chunrong Fang;Wenbin Guo;Jia Liu;Zhenyu Chen,,,CCF-A,IEEE Transactions on Software Engineering,
2026,curated-09b1a6d290af,Scalpel: Automotive Deep Learning Framework Testing via Assembling Model Components,https://doi.org/10.48550/arXiv.2510.21451,accepted,Yinglong Zou;Juan Zhai;Chunrong Fang;An Guo;Jiawei Liu;Zhenyu Chen,,,CCF-A,IEEE/ACM International Conference on Software Engineering (ICSE),
2026,curated-b2f40141cc3c,Vision-Based Mobile App GUI Testing: A Survey,https://doi.org/10.1145/3773027,published,Shengcheng Yu;Chunrong Fang;Ziyuan Tuo;Quanjun Zhang;Chunyang Chen;Zhenyu Chen;Zhendong Su,,,CCF-A,ACM Computing Surveys,
2025,curated-7e9012a045de,A Large-Scale Empirical Study on Fine-Tuning Large Language Models for Unit Testing,https://doi.org/10.1145/3728951,published,Ye Shang;Quanjun Zhang;Chunrong Fang;Siqi Gu;Jianyi Zhou;Zhenyu Chen,,,CCF-A,International Symposium on Software Testing and Analysis (ISSTA),
2025,curated-0e7772bc7131,ACTesting: Automated Cross-modal Testing Method of Text-to-Image Software,https://doi.org/10.1145/3768581,published,Siqi Gu;Chunrong Fang;Quanjun Zhang;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2025,curated-e89974a99209,Automated Detection and Repair of Floating-point Precision Problems in Convolutional Neural Network Operators,https://doi.org/10.1145/3715104,published,Jiawei Liu;Xufan Zhang;Lurong Xu;Chunrong Fang;Mingzheng Gu;Weisi Luo;Dong Chai;Jiang Wang;Zhihong Zhao;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2025,refresh-7600932a37b0,DeCoMa: Detecting and Purifying Code Dataset Watermarks through Dual Channel Code Abstraction,https://doi.org/10.1145/3728952,published,Yuan Xiao;Yuchen Chen;Shiqing Ma;Haocheng Huang;Chunrong Fang;Yanwei Chen;Weisong Sun;Yunfeng Zhu;Xiaofang Zhang;Zhenyu Chen,,,CCF-A,International Symposium on Software Testing and Analysis (ISSTA),
2025,refresh-7acef0c73c07,DeepKernel: 2D-kernels clustering based mutant reduction for cost-effective deep learning model testing,https://doi.org/10.1016/j.jss.2024.112247,published,Shiyu Zhang;Xingya Wang;Lichao Feng;Song Huang;Zhenyu Chen;Zhihong Zhao,,,CCF-B,Journal of Systems and Software,
2025,refresh-e793c036c368,Eliminating Backdoors in Neural Code Models for Secure Code Understanding,https://doi.org/10.1145/3715782,published,Weisong Sun;Yuchen Chen;Chunrong Fang;Yebo Feng;Yuan Xiao;An Guo;Quanjun Zhang;Zhenyu Chen;Baowen Xu;Yang Liu,,,CCF-A,ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (FSE/ESEC),
2025,refresh-f8f069b56c7c,Enhanced Prompting Framework for Code Summarization with Large Language Models,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=S3Rd5TgAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=S3Rd5TgAAAAJ:1lhNe0rCu4AC,published,Minying Fang;Xing Yuan;Yuying Li;Haojie Li;Chunrong Fang;Junwei Du,,,CCF-A,International Symposium on Software Testing and Analysis (ISSTA),
2025,curated-8eb3cc4d9a9e,Exploring Automated Assertion Generation via Large Language Models,https://doi.org/10.1145/3699598,published,Quanjun Zhang;Weifeng Sun;Chunrong Fang;Bowen Yu;Hongyan Li;Meng Yan;Jianyi Zhou;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2025,refresh-66e532982a4d,FunFuzz: Greybox Fuzzing with Function Significance,https://doi.org/10.1145/3702974,published,Ruixiang Qian;Quanjun Zhang;Chunrong Fang;Lihua Guo;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2025,refresh-7fea7fb9b5e8,Hidden Backdoor Attack against Neural Code Search Models,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=HQWxCnkAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=HQWxCnkAAAAJ:IwGqIHSOC8kC,published,Yuchen Chen;Weisong Sun;Chunrong Fang;Quanjun Zhang;Zhenyu Chen;Xiangyu Zhang,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2025,curated-611b2a89d58b,Improving Deep Assertion Generation via Fine-Tuning Retrieval-Augmented Pre-Trained Language Models,https://doi.org/10.1145/3721128,published,Quanjun Zhang;Chunrong Fang;Yi Zheng;Yaxin Zhang;Yuan Zhao;Rubing Huang;Jianyi Zhou;Yun Yang;Tao Zheng;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2025,refresh-d27b412bdbf3,Improving Deep Learning Framework Testing with Model-Level Metamorphic Testing,https://doi.org/10.1145/3728972,published,Yanzhou Mu;Juan Zhai;Chunrong Fang;Xiang Chen;Zhixiang Cao;Peiran Yang;Kexin Zhao;An Guo;Zhenyu Chen,,,CCF-A,International Symposium on Software Testing and Analysis (ISSTA),
2025,curated-b9fc61d5951d,Improving Retrieval-Augmented Deep Assertion Generation via Joint Training,https://doi.org/10.1109/tse.2025.3545970,published,Quanjun Zhang;Chunrong Fang;Yi Zheng;Ruixiang Qian;Shengcheng Yu;Yuan Zhao;Jianyi Zhou;Yun Yang;Tao Zheng;Zhenyu Chen,,,CCF-A,IEEE Transactions on Software Engineering,
2025,curated-2ff930e94885,Multi-dimensional Assessment of Crowdsourced Testing Reports via LLMs,https://doi.org/10.1109/ase63991.2025.00150,published,Yue Wang;Yuan Zhang;Shengcheng Yu;Zhenyu Chen,,,CCF-A,International Conference on Automated Software Engineering (ASE),
2025,refresh-e94cb96c6937,Mutual Information Guided Backdoor Mitigation for Pre-Trained Encoders,https://doi.org/10.1109/tifs.2025.3550062,published,Tingxu Han;Weisong Sun;Ziqi Ding;Chunrong Fang;Hanwei Qian;Jiaxun Li;Zhenyu Chen;Xiangyu Zhang,,,CCF-A,IEEE Transactions on Information Forensics and Security,
2025,refresh-0c6ae6c145e5,pFedLVM: A Large Vision Model (LVM)-Driven and Latent Feature-Based Personalized Federated Learning Framework in Autonomous Driving,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=HQWxCnkAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=HQWxCnkAAAAJ:5McdzzY_mmwC,published,Wei-Bin Kou;Qingfeng Lin;Ming Tang;Sheng Xu;Rongguang Ye;Yang Leng;Shuai Wang;Guofa Li;Zhenyu Chen;Guangxu Zhu;Yik-Chung Wu,,,CCF-B,IEEE Transactions on Intelligent Transportation Systems,
2025,refresh-7d2784250d90,Pre-trained Model-based Actionable Warning Identification: A Feasibility Study,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=S3Rd5TgAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=S3Rd5TgAAAAJ:rmuvC79q63oC,published,Xiuting Ge;Chunrong Fang;Quanjun Zhang;Daoyuan Wu;Bowen Yu;Qirui Zheng;An Guo;Shangwei Lin;Zhihong Zhao;Yang Liu;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2025,refresh-7fdcb6274a5a,Redefining crowdsourced test report prioritization: An innovative approach with large language model,https://doi.org/10.1016/j.infsof.2024.107629,published,Yuchen Ling;Shengcheng Yu;Chunrong Fang;Guobin Pan;Jun Wang;Jia Liu,,,CCF-B,Information and Software Technology,
2025,refresh-33688317acd1,Security of Language Models for Code: A Systematic Literature Review,https://doi.org/10.1145/3735554,published,Yuchen Chen;Weisong Sun;Chunrong Fang;Zhenpeng Chen;Yifei Ge;Tingxu Han;Quanjun Zhang;Yang Liu;Zhenyu Chen;Baowen Xu,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2025,curated-55dd83221823,Source Code Summarization in the Era of Large Language Models,https://doi.org/10.1109/icse55347.2025.00034,published,Weisong Sun;Yun Miao;Yuekang Li;Hongyu Zhang;Chunrong Fang;Yi Liu;Gelei Deng;Yang Liu;Zhenyu Chen,,,CCF-A,International Conference on Software Engineering (ICSE),
2025,curated-a625bfdd8a79,Spatial Semantic Fuzzing for LiDAR-Based Autonomous Driving Perception Systems,https://doi.org/10.1109/tse.2025.3627580,published,An Guo;Zhiwei Su;Xinyu Gao;Chunrong Fang;Senrong Wang;Haoxiang Tian;Wu Wen;Lei Ma;Zhenyu Chen,,,CCF-A,IEEE Transactions on Software Engineering,
2025,curated-d317f5c5ff1f,Test Script Intention Generation for Mobile Application via GUI Image and Code Understanding,https://doi.org/10.1145/3722105,published,Shengcheng Yu;Chunrong Fang;Jia Liu;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
